Timestamp,Item,Top_Bid,Top_Ask,Bid_Volume,Ask_Volume,Seconds_Since_Fetch
2026-09-04 00:29:58,BOOSTER_COOKIE,11999989.7,11605642.8,1,19,
2026-09-04 00:29:58,ENCHANTED_DIAMOND,1414.2,1235.0,51,15775,
2026-09-04 00:29:58,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,
2026-09-04 00:29:58,NULL_SPHERE,195.7,169.0,791,364936,
2026-09-04 00:29:58,NULL_OVOID,168798.0,127491.0,2176,2981,
2026-09-04 00:29:58,RECOMBOBULATOR_3000,9436965.8,9229512.2,1,6,
2026-09-04 00:29:58,SUMMONING_EYE,1215263.0,1136972.2,4,7,
2026-09-04 00:30:59,BOOSTER_COOKIE,11999980.0,11625356.3,83,6,60.20552062988281
2026-09-04 00:30:59,ENCHANTED_DIAMOND,1409.6,1235.0,117,15775,60.20552062988281
2026-09-04 00:30:59,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.20552062988281
2026-09-04 00:30:59,NULL_SPHERE,195.7,169.0,791,364936,60.20552062988281
2026-09-04 00:30:59,NULL_OVOID,168797.9,127491.0,1715,2981,60.20552062988281
2026-09-04 00:30:59,RECOMBOBULATOR_3000,9436966.4,9229512.2,1,6,60.20552062988281
2026-09-04 00:30:59,SUMMONING_EYE,1215261.8,1136972.2,1,7,60.20552062988281
2026-09-04 00:31:59,BOOSTER_COOKIE,11999979.9,11625356.8,8,8,60.234896183013916
2026-09-04 00:31:59,ENCHANTED_DIAMOND,1409.6,1235.0,117,15775,60.234896183013916
2026-09-04 00:31:59,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.234896183013916
2026-09-04 00:31:59,NULL_SPHERE,195.7,169.0,791,364936,60.234896183013916
2026-09-04 00:31:59,NULL_OVOID,168797.9,127491.0,1715,2981,60.234896183013916
2026-09-04 00:31:59,RECOMBOBULATOR_3000,9436965.8,9229513.1,1,9,60.234896183013916
2026-09-04 00:31:59,SUMMONING_EYE,1215260.2,1120000.5,22,47,60.234896183013916
2026-09-04 00:32:59,BOOSTER_COOKIE,11999980.0,11605642.8,83,19,60.27353286743164
2026-09-04 00:32:59,ENCHANTED_DIAMOND,1409.2,1235.0,84,15775,60.27353286743164
2026-09-04 00:32:59,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.27353286743164
2026-09-04 00:32:59,NULL_SPHERE,197.7,169.0,427,364936,60.27353286743164
2026-09-04 00:32:59,NULL_OVOID,168797.9,127491.0,1715,2981,60.27353286743164
2026-09-04 00:32:59,RECOMBOBULATOR_3000,9436965.8,9227379.9,1,15,60.27353286743164
2026-09-04 00:32:59,SUMMONING_EYE,1215261.4,1136972.2,1,7,60.27353286743164
2026-09-04 00:33:59,BOOSTER_COOKIE,11999977.1,11605631.9,28,1,60.2643187046051
2026-09-04 00:33:59,ENCHANTED_DIAMOND,1409.2,1235.0,84,15775,60.2643187046051
2026-09-04 00:33:59,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.2643187046051
2026-09-04 00:33:59,NULL_SPHERE,197.7,169.0,427,364936,60.2643187046051
2026-09-04 00:33:59,NULL_OVOID,168797.9,127491.0,1715,2981,60.2643187046051
2026-09-04 00:33:59,RECOMBOBULATOR_3000,9436965.8,9229512.2,1,6,60.2643187046051
2026-09-04 00:33:59,SUMMONING_EYE,1215260.2,1136972.9,22,49,60.2643187046051
2026-09-04 00:35:00,BOOSTER_COOKIE,11999977.1,11605636.6,28,1,60.24879550933838
2026-09-04 00:35:00,ENCHANTED_DIAMOND,1409.2,1235.0,84,15775,60.24879550933838
2026-09-04 00:35:00,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.24879550933838
2026-09-04 00:35:00,NULL_SPHERE,197.7,169.0,427,364936,60.24879550933838
2026-09-04 00:35:00,NULL_OVOID,168798.0,127491.0,2176,2981,60.24879550933838
2026-09-04 00:35:00,RECOMBOBULATOR_3000,9454205.2,9227379.9,1,15,60.24879550933838
2026-09-04 00:35:00,SUMMONING_EYE,1215260.2,1136975.0,22,6,60.24879550933838
2026-09-04 00:36:00,BOOSTER_COOKIE,11999979.9,11605642.1,8,7,60.29518175125122
2026-09-04 00:36:00,ENCHANTED_DIAMOND,1409.2,1235.0,84,15775,60.29518175125122
2026-09-04 00:36:00,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.29518175125122
2026-09-04 00:36:00,NULL_SPHERE,197.7,169.0,427,364936,60.29518175125122
2026-09-04 00:36:00,NULL_OVOID,168797.9,127491.0,1715,2981,60.29518175125122
2026-09-04 00:36:00,RECOMBOBULATOR_3000,9454205.4,9229513.1,15,9,60.29518175125122
2026-09-04 00:36:00,SUMMONING_EYE,1215261.4,1136972.9,1,49,60.29518175125122
2026-09-04 00:37:00,BOOSTER_COOKIE,11999989.7,11605642.2,1,1,60.186774253845215
2026-09-04 00:37:00,ENCHANTED_DIAMOND,1409.2,1235.0,84,15775,60.186774253845215
2026-09-04 00:37:00,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.186774253845215
2026-09-04 00:37:00,NULL_SPHERE,197.7,169.0,427,364936,60.186774253845215
2026-09-04 00:37:00,NULL_OVOID,168797.9,127491.0,1715,2981,60.186774253845215
2026-09-04 00:37:00,RECOMBOBULATOR_3000,9473357.4,9229513.5,1,4,60.186774253845215
2026-09-04 00:37:00,SUMMONING_EYE,1215262.9,1136972.9,3,49,60.186774253845215
2026-09-04 00:38:00,BOOSTER_COOKIE,11999980.0,11605642.1,83,7,60.21195602416992
2026-09-04 00:38:00,ENCHANTED_DIAMOND,1409.6,1235.0,117,15775,60.21195602416992
2026-09-04 00:38:00,ENCHANTED_DIAMOND_BLOCK,206498.4,70000.0,31,21428,60.21195602416992
2026-09-04 00:38:00,NULL_SPHERE,197.7,169.0,427,364936,60.21195602416992
2026-09-04 00:38:00,NULL_OVOID,168797.9,127491.0,1715,2981,60.21195602416992
2026-09-04 00:38:00,RECOMBOBULATOR_3000,9473358.1,9229512.2,3,6,60.21195602416992
2026-09-04 00:38:00,SUMMONING_EYE,1215262.9,1136975.0,3,6,60.21195602416992
2026-09-04 00:39:00,BOOSTER_COOKIE,11999977.1,11605642.2,28,1,60.16999840736389
2026-09-04 00:39:00,ENCHANTED_DIAMOND,1420.0,1235.0,286896,15775,60.16999840736389
2026-09-04 00:39:00,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.16999840736389
2026-09-04 00:39:00,NULL_SPHERE,197.7,169.0,427,364936,60.16999840736389
2026-09-04 00:39:00,NULL_OVOID,168797.9,127491.0,1715,2981,60.16999840736389
2026-09-04 00:39:00,RECOMBOBULATOR_3000,9454205.7,9227379.9,8,15,60.16999840736389
2026-09-04 00:39:00,SUMMONING_EYE,1215269.0,1136975.0,26,6,60.16999840736389
2026-09-04 00:40:01,BOOSTER_COOKIE,11999979.9,11605642.8,8,19,60.17976260185242
2026-09-04 00:40:01,ENCHANTED_DIAMOND,1420.0,1235.0,286896,15775,60.17976260185242
2026-09-04 00:40:01,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.17976260185242
2026-09-04 00:40:01,NULL_SPHERE,197.7,169.0,427,364936,60.17976260185242
2026-09-04 00:40:01,NULL_OVOID,168798.0,127491.0,2176,2981,60.17976260185242
2026-09-04 00:40:01,RECOMBOBULATOR_3000,9600000.0,9229513.1,12,9,60.17976260185242
2026-09-04 00:40:01,SUMMONING_EYE,1215273.0,1136975.0,1,6,60.17976260185242
2026-09-04 00:41:01,BOOSTER_COOKIE,11999976.9,11605642.1,28,7,60.22323775291443
2026-09-04 00:41:01,ENCHANTED_DIAMOND,1429.6,1235.0,896,15775,60.22323775291443
2026-09-04 00:41:01,ENCHANTED_DIAMOND_BLOCK,206499.2,70000.0,18,21428,60.22323775291443
2026-09-04 00:41:01,NULL_SPHERE,197.7,169.0,427,364936,60.22323775291443
2026-09-04 00:41:01,NULL_OVOID,168798.0,127491.0,2176,2981,60.22323775291443
